# From NMAP.org

@{Code=0001A1; Vendor=Mag-Tek}
@{Code=0001A2; Vendor=Logical}
@{Code=0001A3; Vendor=Genesys Logic}
@{Code=0001A4; Vendor=Microlink}
@{Code=0001A5; Vendor=Nextcomm}
@{Code=0001A6; Vendor=Scientific-Atlanta Arcodan}
@{Code=0001A7; Vendor=Unex}
@{Code=0001A8; Vendor=Welltech}
@{Code=0001A9; Vendor=BMW}
@{Code=0001AA; Vendor=Airspan}
@{Code=0001AB; Vendor=Main Street}
@{Code=0001AC; Vendor=Sitara}
@{Code=0001AD; Vendor=Coach Master d.b.a. CMI Worldwide}
@{Code=0001AE; Vendor=Trex}
@{Code=0001AF; Vendor=Artesyn Embedded}
@{Code=0001B0; Vendor=Fulltek}
@{Code=0001B1; Vendor=General Bandwidth}
@{Code=0001B2; Vendor=Digital Processing}
@{Code=0001B3; Vendor=Precision}
@{Code=0001B4; Vendor=Wayport}
@{Code=0001B5; Vendor=Turin}
@{Code=0001B6; Vendor=SAEJIN T&M}
@{Code=0001B7; Vendor=Centos}
@{Code=0001B8; Vendor=Netsensity}
@{Code=0001B9; Vendor=SKF}
@{Code=0001BA; Vendor=IC-Net}
@{Code=0001BB; Vendor=Frequentis}
@{Code=0001BC; Vendor=Brains}
@{Code=0001BD; Vendor=Peterson}
@{Code=0001BE; Vendor=Gigalink}
@{Code=0001BF; Vendor=Teleforce}
@{Code=0001C0; Vendor=CompuLab}
@{Code=0001C1; Vendor=Vitesse Semiconductor}
@{Code=0001C2; Vendor=ARK}
@{Code=0001C3; Vendor=Acromag}
@{Code=0001C4; Vendor=NeoWave}
@{Code=0001C5; Vendor=Simpler}
@{Code=0001C6; Vendor=Quarry}
@{Code=0001C7; Vendor=Cisco}
@{Code=0001C8; Vendor=Conrad}
@{Code=0001C8; Vendor=Thomas Conrad}
@{Code=0001C9; Vendor=Cisco}
@{Code=0001CA; Vendor=Geocast Network}
@{Code=0001CB; Vendor=EVR}
@{Code=0001CC; Vendor=Japan Total Design}
@{Code=0001CD; Vendor=ARtem}
@{Code=0001CE; Vendor=Custom Micro}
@{Code=0001CF; Vendor=Alpha Data Parallel}
@{Code=0001D0; Vendor=VitalPoint}
@{Code=0001D1; Vendor=CoNet}
@{Code=0001D2; Vendor=inXtron}
@{Code=0001D3; Vendor=PAXCOMM}
@{Code=0001D4; Vendor=Leisure Time}
@{Code=0001D5; Vendor=Haedong Info}
@{Code=0001D6; Vendor=manroland}
@{Code=0001D7; Vendor=F5}
@{Code=0001D8; Vendor=Teltronics}
@{Code=0001D9; Vendor=Sigma}
@{Code=0001DA; Vendor=WINCOMM}
@{Code=0001DB; Vendor=Freecom}
@{Code=0001DC; Vendor=Activetelco}
@{Code=0001DD; Vendor=Avail}
@{Code=0001DE; Vendor=Trango}
@{Code=0001DF; Vendor=ISDN}
@{Code=0001E0; Vendor=Fast}
@{Code=0001E1; Vendor=Kinpo}
@{Code=0001E2; Vendor=Ando Electric}
@{Code=0001E3; Vendor=Siemens}
@{Code=0001E4; Vendor=Sitera}
@{Code=0001E5; Vendor=Supernet}
@{Code=0001E6; Vendor=HP}
@{Code=0001E7; Vendor=HP}
@{Code=0001E8; Vendor=Force10}
@{Code=0001E9; Vendor=Litton Marine Systems B.V}
@{Code=0001EA; Vendor=Cirilium}
@{Code=0001EB; Vendor=C-CoM}
@{Code=0001EC; Vendor=Ericsson}
@{Code=0001ED; Vendor=SETA}
@{Code=0001EE; Vendor=Comtrol}
@{Code=0001EF; Vendor=Camtel}
@{Code=0001F0; Vendor=Tridium}
@{Code=0001F1; Vendor=Innovative Concepts}
@{Code=0001F2; Vendor=Mark Of the Unicorn}
@{Code=0001F3; Vendor=QPS}
@{Code=0001F4; Vendor=Enterasys}
@{Code=0001F5; Vendor=Erim S.A}
@{Code=0001F6; Vendor=Association Of Musical}
@{Code=0001F7; Vendor=Image Display}
@{Code=0001F8; Vendor=Texio}
@{Code=0001F9; Vendor=TeraGlobal}
@{Code=0001FA; Vendor=Horoscas}
@{Code=0001FB; Vendor=DoTop}
@{Code=0001FC; Vendor=Keyence}
@{Code=0001FD; Vendor=Digital Voice}
@{Code=0001FE; Vendor=Digital Equipment}
@{Code=0001FF; Vendor=Data Direct}
@{Code=000200; Vendor=Net}
@{Code=000201; Vendor=IFM}
@{Code=000202; Vendor=Amino}
@{Code=000203; Vendor=Woonsang Telecom}
@{Code=000204; Vendor=Bodmann}
@{Code=000205; Vendor=Hitachi Denshi}
@{Code=000206; Vendor=Telital R&D Denmark}
@{Code=000207; Vendor=VisionGlobal Network}
@{Code=000208; Vendor=Unify}
@{Code=000209; Vendor=Shenzhen SED Information}
@{Code=00020A; Vendor=Gefran}
@{Code=00020B; Vendor=Native}
@{Code=00020C; Vendor=Metro-Optix}
@{Code=00020D; Vendor=Micronpc.com}
